,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,belton,40,US,1570643487,55,31.06,-97.46,87.01,17.22
88,aksarka,100,RU,1570643083,98,66.56,67.8,37.49,5.31
89,jacareacanga,71,BR,1570643487,52,-6.22,-57.76,93.2,4.7
90,cape town,75,CL,1570643058,46,-36.41,-71.9,69.8,11.41
91,beringovskiy,2,RU,1570643065,68,63.05,179.32,33.17,15.49
92,san cristobal,27,ML,1570643067,25,13.3,-4.9,94.37,7.15
93,tual,100,ID,1570643187,86,-5.67,132.75,78.17,8.14
94,manaus,40,BR,1570643489,66,-3.13,-59.98,87.8,4.7
95,thompson,75,CA,1570643079,59,55.74,-97.86,35.6,9.17
96,barrow,27,AR,1570643093,33,-38.31,-60.23,70.25,17.38
97,gayny,100,RU,1570643490,88,60.3,54.33,34.25,1.69
98,laguna,75,BZ,1570643490,79,16.17,-88.94,86.0,4.7
99,ustye,76,RU,1570643491,92,58.76,27.79,40.19,5.48
100,victoria,75,BN,1570643084,94,5.28,115.24,77.0,4.87
101,saint-philippe,1,CA,1570643128,51,45.36,-73.48,63.0,4.7
102,muriti,20,TZ,1570643492,78,-1.99,32.93,75.2,5.82
103,hambantota,99,LK,1570643056,78,6.12,81.12,82.13,10.45
104,alberton,0,ZA,1570643493,16,-26.25,28.13,82.4,2.78
105,acapulco,90,MX,1570643285,74,16.86,-99.88,82.4,3.36
106,taltal,38,CL,1570643493,71,-25.41,-70.49,58.91,5.96
107,dunedin,100,NZ,1570643207,95,-45.87,170.5,48.99,1.01
108,erzin,0,TR,1570643494,60,36.95,36.2,77.0,3.36
109,chokurdakh,0,RU,1570643057,88,70.62,147.9,4.37,3.28
110,saint-pierre,57,FR,1570643127,71,48.95,4.24,57.2,16.11
111,marzuq,36,YE,1570643495,53,14.4,46.47,75.65,5.16
112,segovia,0,ES,1570643496,31,40.95,-4.12,82.4,1.12
113,samarai,98,PG,1570643214,95,-10.62,150.67,73.49,3.07
114,jinka,100,ET,1570643497,89,5.79,36.57,64.13,4.64
115,ust-maya,14,RU,1570643497,96,60.42,134.54,22.55,2.37
116,malazgirt,26,TR,1570643498,60,39.15,42.54,51.71,3.24
117,wilmington,90,US,1570643498,67,39.75,-75.55,62.01,9.17
118,lagoa,0,PT,1570643184,53,37.14,-8.45,82.0,5.82
119,tuktoyaktuk,90,CA,1570643157,67,69.44,-133.03,32.0,4.7
120,nikolskoye,75,RU,1570643138,86,59.7,30.79,41.0,4.47
121,tubuala,40,PA,1570643500,83,9.52,-79.03,82.4,8.05
122,trairi,69,BR,1570643172,35,-3.28,-39.27,91.13,14.54
123,arlit,100,NE,1570643218,21,18.74,7.39,96.53,10.71
124,hemsedal,100,NO,1570643501,86,60.86,8.55,35.01,4.32
125,tiksi,100,RU,1570643086,88,71.64,128.87,22.73,7.61
126,cidreira,0,BR,1570643082,84,-30.17,-50.22,67.55,9.65
127,port blair,24,CD,1570643144,66,-7.04,29.76,79.79,4.79
128,matagami,55,NG,1570643503,95,9.67,8.4,70.61,1.25
129,busselton,8,AU,1570643099,67,-33.64,115.35,54.0,2.17
130,touros,40,BR,1570643243,54,-5.2,-35.46,84.2,17.22
131,tavda,100,RU,1570643504,84,58.04,65.27,50.27,5.35
132,gladstone,90,AU,1570643505,68,-23.84,151.26,68.0,9.17
133,zhigansk,1,RU,1570643506,84,66.77,123.37,17.69,24.96
134,maun,14,BW,1570643506,17,-19.99,23.42,91.4,5.82
135,san felipe,27,ML,1570643506,25,13.3,-4.9,94.37,7.15
136,auki,93,NG,1570643507,72,12.18,6.51,78.71,4.75
137,saint-georges,61,CA,1570643131,48,46.12,-70.67,57.99,3.0
138,pokhara,0,NP,1570643508,92,28.21,83.99,63.41,2.34
139,hithadhoo,58,MV,1570643136,76,-0.6,73.08,82.49,9.37
140,illapel,100,CL,1570643508,10,-31.63,-71.17,83.93,9.88
141,noumea,0,NC,1570643509,93,-22.28,166.46,72.0,14.72
142,kahului,20,US,1570643174,77,20.89,-156.47,77.0,3.36
143,iqaluit,75,CA,1570643091,86,63.75,-68.52,37.4,5.82
144,tagab,0,AF,1570643510,38,34.85,69.65,59.0,3.36
145,daman,100,IN,1570643510,81,20.42,72.83,77.99,5.24
146,padang,47,ID,1570643173,98,-0.92,100.36,67.55,0.97
147,tongchuan,99,CN,1570643511,100,34.9,108.95,55.4,2.24
148,severo-kurilsk,89,RU,1570643088,96,50.68,156.12,42.35,6.3
149,mackenzie,75,CA,1570643512,73,55.34,-123.09,26.6,5.82
150,bismarck,90,US,1570643512,100,46.81,-100.78,42.8,14.99
151,portland,75,US,1570643513,54,43.66,-70.25,61.0,12.75
152,jamestown,0,AU,1570643098,87,-33.21,138.6,43.25,13.19
153,okhotsk,100,RU,1570643513,94,59.36,143.24,38.21,15.24
154,kruisfontein,66,ZA,1570643163,67,-34.0,24.73,52.61,18.48
155,sitka,0,US,1570643237,57,37.17,-99.65,79.0,20.0
156,zakharovo,100,RU,1570643514,98,54.37,39.28,41.0,4.0
157,timmins,40,CA,1570643515,51,48.48,-81.33,62.6,13.87
